id,name,scriptid,scripttype,owner,scriptfile,isinactive
150,Bank Fee Schedule CS,customscript_11724_bank_fee_cs,CLIENT,5,1020,F
169,CA Info Page Client,customscript_ca_cs_infopage,CLIENT,5,1084,F
168,Campaign Assistant Client,customscript_ca_cs_campaignassistant,CLIENT,5,1082,F
859,Cash 360 - Account Category CS,customscript_cash360_cs_accountcategory,CLIENT,-5,164160,F
698,China Consolidated CL,customscript698,CLIENT,5,16564,F
3048,Clear Special Order on SO,customscript_pr_cl_so_clear_special_ord,CLIENT,4,1142398,F
684,Client - Move to Hold,customscript684,CLIENT,5,9789,F
313,Client - Stored Inv,customscript156,CLIENT,5,2651,F
312,Client Delivery Slip,customscript162,CLIENT,5,2650,F
311,Client Print Picking,customscript158,CLIENT,5,2649,F
695,Consolidated Pack - Delivery Slip CL,customscript695,CLIENT,5,12880,F
691,Consolidated Packing Slip - Client,customscript708,CLIENT,5,12561,F
690,Consolidated Packing Slip BASE - Client,customscript704,CLIENT,5,12560,F
1097,Consolidated Test - CL,customscript_pr_consol_cl,CLIENT,15382,217244,F
573,Correct Tax Code Dialog,customscript573,CLIENT,8,4584,T
855,Create Sales Order - Client,customscript_pr_create_so_client,CLIENT,15382,140470,F
40,Dashboard Tile Client,customscript_dt_cs_translation,CLIENT,5,994112,F
39,Dashboard Tile Client,customscript_dt_cs_tile,CLIENT,5,179,F
548,ECO Engineering Change Notice CS,customscript_eco_cs_eng_change_notice,CLIENT,4,4112,F
161,Electronic Payments Entity Details CS,customscript_2663_entity_details_cs,CLIENT,5,1022,F
151,Electronic Payments Entity Details CS 2,customscript_14552_entity_details_cs,CLIENT,5,946,F
153,Electronic Payments Payment CS,customscript_9997_payment_cs,CLIENT,5,949,F
148,Electronic Payments Preference CS,customscript_ep_preference_cs,CLIENT,5,967,F
344,Electronic Payments Preference CS SS2,customscript_15486_ep_preference_cs,CLIENT,-5,2982,F
149,Entity Bank Details CS,customscript_10782_entity_bank_cs,CLIENT,5,1001,F
1345,FAM Alternate Depreciation CS,customscript_fam_altdepreciation_cs,CLIENT,4,499101,F
1347,FAM Alternate Method CS,customscript_fam_altmethod_cs,CLIENT,4,499079,F
1354,FAM Asset CS,customscript_fam_asset_cs,CLIENT,4,499100,F
1351,FAM Asset Proposal CS,customscript_fam_proposal_cs,CLIENT,4,499099,F
1352,FAM Asset Type CS,customscript_fam_assettype_cs,CLIENT,4,499078,F
1349,FAM Default Alt Depreciation CS,customscript_fam_defaltdepreciation_cs,CLIENT,4,499059,F
1355,FAM Depreciation Method CS,customscript_fam_depreciationmethod_cs,CLIENT,4,499119,F
1348,FAM Lease Proposal CS,customscript_fam_leaseproposal_cs,CLIENT,4,499046,F
1350,FAM Proposal Alt Depreciation CS,customscript_fam_propaltdepreciation_cs,CLIENT,4,499157,F
1346,FAM Show Depreciation History CS,customscript_fam_showdeprhistory_cs,CLIENT,4,499120,F
1353,FAM Tran Field Map CS,customscript_fam_tranfieldmap_cs,CLIENT,4,499058,F
575,Generate SO Labels - Client,customscript_pre_gen_so_labels_client,CLIENT,15382,4597,T
154,Generic Bank Details Validation,customscript_2663_bank_details_cs,CLIENT,5,983,F
152,Generic Bank Details Validation 2,customscript_14552_bank_details_cs,CLIENT,5,1004,F
143,Generic Entity Bank Detail Validator,customscript_2663_entity_bank_details_cs,CLIENT,5,987,F
147,Generic File Format Validator,customscript_2663_file_format_cs,CLIENT,5,1056,F
343,Generic File Format Validator SS2,customscript_15486_file_format_cs,CLIENT,-5,2996,F
342,Generic Payment Aggregation CS SS2,customscript_15486_pay_aggregation_cs,CLIENT,-5,2987,F
155,Generic Payment Aggregation Validation,customscript_2663_payment_aggregation_cs,CLIENT,5,1021,F
1081,Generic Payment File Management CS SS2,customscript_15767_payment_file_mgmt_cs,CLIENT,-5,193426,F
156,Generic Payment File Record Validation,customscript_2663_payment_file_mgmt_cs,CLIENT,5,964,F
144,Generic Payment Jumplet Validation,customscript_2663_jumplet_cs,CLIENT,5,1063,F
145,Generic Payment Module Field Validator,customscript_2663_field_validator_cs,CLIENT,5,1013,F
159,Generic Payment Module Field Validator 2,customscript_14552_field_validator_cs,CLIENT,5,1009,F
146,Generic Payment Selection Client Script,customscript_ep_selection_cs,CLIENT,5,974,F
2795,Inbound | Ack PO CL,customscript2581,CLIENT,5,991937,F
2023,Item CS,customscript_str_item_cs,CLIENT,17891,806995,F
542,Item Substitute Transactions CS,customscript_scm_is_transactions_cs,CLIENT,4,4120,F
4117,LRC Field Manager Client Script,customscript_lrc_field_manager_cs,CLIENT,17891,1587358,F
5,LSA CS Custom Button,customscript_lsa_cs_custom_button,CLIENT,-5,7,F
2813,Lock Consolidated in Client of PREMCOL,customscript2813,CLIENT,17891,999673,F
3345,Lock Record Client,customscript_lock_record_client,CLIENT,17891,1380692,T
3166,MLI Steal Inv Bttn 1 CL,customscript_mli_stealinvbtn1_cl,CLIENT,5,1189787,F
1092,Mark Change to Item Quantity - Consol,customscript_pr_mark_change_qty_consol,CLIENT,15382,214659,T
827,Mass IFUL Client Call on SL,customscript827,CLIENT,5,77543,F
300,Merge Location - CL,customscript300,CLIENT,5,2638,F
4616,NS | CS | SFTP - Folder Mapping Record,customscript_ns_cs_folder_mapping_record,CLIENT,17891,1631202,F
4615,NS | CS | SFTP - InBound Folder Mapping,customscript_cs_ib_folder_mapping,CLIENT,17891,1631206,F
4619,NS | CS | SFTP Call Suitelet,customscript_ns_cs_sftp_ib_call_suitelet,CLIENT,17891,1631210,F
4617,NS | CS | SFTP Call Suitelet,customscript_ns_cs_sftp_call_suitelet,CLIENT,17891,1631207,F
