depid,script,deployid,recordtype,isdeployed,status
1566,1339,customdeploy_fam_createcompound_mr,,T,NOTSCHEDULED
1567,1340,customdeploy_fam_createsummaries_mr,,T,NOTSCHEDULED
1568,1341,customdeploy_fam_generateasset_mr,,T,NOTSCHEDULED
1569,1343,customdeploy_fam_proposeasset_mr,,T,NOTSCHEDULED
1570,1344,customdeploy_fam_generatederogatorydhrs,,T,NOTSCHEDULED
1571,1345,customdeploy_fam_altdepreciation_cs,CUSTOMRECORD_NCFAR_ALTDEPRECIATION,T,RELEASED
1572,1347,customdeploy_fam_altmethod_cs,CUSTOMRECORD_NCFAR_ALTMETHODS,T,RELEASED
1573,1348,customdeploy_fam_leaseproposal_cs,CUSTOMTRANSACTION_FAM_LEASEPROPOSAL,T,RELEASED
1574,1349,customdeploy_fam_defaltdepreciation_cs,CUSTOMRECORD_NCFAR_ALTDEPRDEF,T,RELEASED
1575,1350,customdeploy_fam_propaltdepreciation_cs,CUSTOMRECORD_NCFAR_ALTDEPR_PROPOSAL,T,RELEASED
1576,1351,customdeploy_fam_proposal_cs,CUSTOMRECORD_NCFAR_ASSETPROPOSAL,T,RELEASED
1577,1352,customdeploy_fam_assettype_cs,CUSTOMRECORD_NCFAR_ASSETTYPE,T,RELEASED
1578,1353,customdeploy_fam_tranfieldmap_cs,CUSTOMRECORD_FAM_TPAF_MAPPING,T,RELEASED
1579,1354,customdeploy_fam_asset_cs,CUSTOMRECORD_NCFAR_ASSET,T,RELEASED
1580,1355,customdeploy_fam_depreciationmethod_cs,CUSTOMRECORD_NCFAR_DEPRMETHOD,T,RELEASED
1584,1356,customdeploy_fam_constructrevaldetail_ss,,T,NOTSCHEDULED
1612,1357,customdeploy_17801_ge_batch_list_su,,T,RELEASED
1621,1358,customdeploy_17801_ep_gebatch_process_pt,,T,RELEASED
1697,1359,customdeploy1,,T,NOTSCHEDULED
1699,1360,customdeploy_ramp_restlet,,T,RELEASED
1702,1460,customdeploy_mark_estimate_so,SALESORDER,T,RELEASED
1773,1594,customdeploy_estimate_ue,SALESORDER,T,RELEASED
1860,1694,customdeploy2,,T,NOTSCHEDULED
1861,1694,customdeploy1,,T,SCHEDULED
1862,1695,customdeploy1,,T,NOTSCHEDULED
1863,1696,customdeploy1,,T,NOTSCHEDULED
1864,1697,customdeploy1,,T,NOTSCHEDULED
1855,1698,customdeploy1,,T,RELEASED
1854,1698,customdeploy2,,T,RELEASED
1856,1699,customdeploy1,CUSTOMRECORD_ZASTRO_LIGHTS_ITEMS,T,RELEASED
1868,1700,customdeploy1,,T,NOTSCHEDULED
1869,1700,customdeploy2,,T,NOTSCHEDULED
1870,1700,customdeploy3,,T,NOTSCHEDULED
1857,1701,customdeploy1,,T,NOTSCHEDULED
1858,1702,customdeploy1,,T,NOTSCHEDULED
1859,1702,customdeploy2,,T,NOTSCHEDULED
1875,1703,customdeploy2,,T,NOTSCHEDULED
1873,1703,customdeploy3,,T,NOTSCHEDULED
1872,1703,customdeploy5,,T,NOTSCHEDULED
1874,1703,customdeploy4,,T,NOTSCHEDULED
1871,1703,customdeploy1,,T,NOTSCHEDULED
1865,1704,customdeploy1,,T,NOTSCHEDULED
1866,1705,customdeploy1,CUSTOMRECORD_ZASTRO_API_SCHEDULER,T,RELEASED
1867,1706,customdeploy1,,T,NOTSCHEDULED
1876,1707,customdeploy1,,T,NOTSCHEDULED
5679,1708,customdeploy_delete_records_2,,T,NOTSCHEDULED
1878,1709,customdeploy_bf_su_delete_se_eu_reg,,T,RELEASED
1879,1809,customdeploy_bf_sdf_install_issue792636,,T,RELEASED
2552,1909,customdeploy2,,T,NOTSCHEDULED
7676,1910,customdeploy_ste_bundle_install,,T,RELEASED
1935,1911,customdeploy_ste_wf_trans_comp_text_act,INVOICE,T,RELEASED
1949,1914,customdeploy_ste_ue_ln_inventory_item,LOTNUMBEREDINVENTORYITEM,T,RELEASED
1947,1914,customdeploy_ste_ue_serial_assembly_item,SERIALIZEDASSEMBLYITEM,T,RELEASED
1948,1914,customdeploy_ste_ue_serial_invent_item,SERIALIZEDINVENTORYITEM,T,RELEASED
1946,1914,customdeploy_ste_ue_ln_assembly_item,LOTNUMBEREDASSEMBLYITEM,T,RELEASED
1945,1914,customdeploy_ste_ue_assemly_item,ASSEMBLYITEM,T,RELEASED
1944,1914,customdeploy_ste_ue_download_item,DOWNLOADITEM,T,RELEASED
1943,1914,customdeploy_ste_ue_service_item,SERVICEITEM,T,RELEASED
1942,1914,customdeploy_ste_ue_kitpackage_item,KITITEM,T,RELEASED
1941,1914,customdeploy_ste_ue_giftcertificate_item,GIFTCERTIFICATEITEM,T,RELEASED
